4159,EPSG,4159,"GEOGCS[""ELD79"", DATUM[""European Libyan Datum 1979"", ELLIPSOID[""International 1924"", 6378388, 297]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4160,EPSG,4160,"GEOGCS[""Chos Malal 1914"", DATUM[""Chos Malal 1914"", ELLIPSOID[""International 1924"", 6378388, 297]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4161,EPSG,4161,"GEOGCS[""Pampa del Castillo"", DATUM[""Pampa del Castillo"", ELLIPSOID[""International 1924"", 6378388, 297]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4162,EPSG,4162,"GEOGCS[""Korean 1985"", DATUM[""Korean Datum 1985"", ELLIPSOID[""Bessel 1841"", 6377397.155, 299.1528128]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4163,EPSG,4163,"GEOGCS[""Yemen NGN96"", DATUM[""Yemen National Geodetic Network 1996"", ELLIPSOID[""WGS 84"", 6378137, 298.257223563]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4164,EPSG,4164,"GEOGCS[""South Yemen"", DATUM[""South Yemen"", ELLIPSOID[""Krassowsky 1940"", 6378245, 298.3]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4165,EPSG,4165,"GEOGCS[""Bissau"", DATUM[""Bissau"", ELLIPSOID[""International 1924"", 6378388, 297]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4166,EPSG,4166,"GEOGCS[""Korean 1995"", DATUM[""Korean Datum 1995"", ELLIPSOID[""WGS 84"", 6378137, 298.257223563]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4167,EPSG,4167,"GEOGCS[""NZGD2000"", DATUM[""New Zealand Geodetic Datum 2000"", ELLIPSOID[""GRS 1980"", 6378137, 298.257222101]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4168,EPSG,4168,"GEOGCS[""Accra"", DATUM[""Accra"", ELLIPSOID[""War Office"", 6378300, 296]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4169,EPSG,4169,"GEOGCS[""American Samoa 1962"", DATUM[""American Samoa 1962"", ELLIPSOID[""Clarke 1866"", 6378206.4, 294.978698213898]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4170,EPSG,4170,"GEOGCS[""SIRGAS"", DATUM[""Sistema de Referencia Geocentrico para America del Sur 1995"", ELLIPSOID[""GRS 1980"", 6378137, 298.257222101]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4171,EPSG,4171,"GEOGCS[""RGF93"", DATUM[""Reseau Geodesique Francais 1993"", ELLIPSOID[""GRS 1980"", 6378137, 298.257222101]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4173,EPSG,4173,"GEOGCS[""IRENET95"", DATUM[""IRENET95"", ELLIPSOID[""GRS 1980"", 6378137, 298.257222101]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4174,EPSG,4174,"GEOGCS[""Sierra Leone 1924"", DATUM[""Sierra Leone Colony 1924"", ELLIPSOID[""War Office"", 6378300, 296]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4175,EPSG,4175,"GEOGCS[""Sierra Leone 1968"", DATUM[""Sierra Leone 1968"", ELLIPSOID[""Clarke 1880 (RGS)"", 6378249.145, 293.465]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
