sysconvgroup	71	S 	4	0	0	0	0	0	2009-04-13 12:59:12.873	0	0	0	S 	1	1	0	2009-04-13 12:59:12.873	0	0	0	0	0	2	0
sysdesend	72	S 	4	0	0	0	0	0	2009-04-13 12:59:12.903	0	0	0	S 	1	1	0	2009-04-13 12:59:12.903	0	0	0	0	0	2	0
sysdercv	73	S 	4	0	0	0	0	0	2009-04-13 12:59:13.000	0	0	0	S 	1	1	0	2009-04-13 12:59:13.000	0	0	0	0	0	2	0
syssingleobjrefs	74	S 	4	0	0	0	0	0	2009-04-13 12:59:10.967	0	0	0	S 	1	1	0	2009-04-13 12:59:10.967	0	0	0	0	0	2	0
sysmultiobjrefs	75	S 	4	0	0	0	0	0	2009-04-13 12:59:10.983	0	0	0	S 	1	1	0	2009-04-13 12:59:10.983	0	0	0	0	0	2	0
sysguidrefs	78	S 	4	0	0	0	0	0	2009-04-13 12:59:12.577	0	0	0	S 	1	1	0	2009-04-13 12:59:12.577	0	0	0	0	0	2	0
sysfoqueues	79	S 	4	0	0	0	0	0	2019-09-13 17:53:09.303	0	0	0	S 	1	1	0	2019-09-13 17:53:09.303	0	0	0	0	0	2	0
syschildinsts	80	S 	4	0	0	0	0	0	2019-09-13 17:53:09.227	0	0	0	S 	1	1	0	2019-09-13 17:53:09.227	0	0	0	0	0	2	0
syscompfragments	82	S 	4	0	0	0	0	0	2019-09-13 17:53:09.083	0	0	0	S 	1	1	0	2019-09-13 17:53:09.083	0	0	0	0	0	2	0
sysftsemanticsdb	84	S 	4	0	0	0	0	0	2019-09-13 17:53:09.280	0	0	0	S 	1	1	0	2019-09-13 17:53:09.280	0	0	0	0	0	2	0
sysftstops	85	S 	4	0	0	0	0	0	2019-09-13 17:53:09.087	0	0	0	S 	1	1	0	2019-09-13 17:53:09.087	0	0	0	0	0	2	0
sysftproperties	86	S 	4	0	0	0	0	0	2019-09-13 17:53:09.140	0	0	0	S 	1	1	0	2019-09-13 17:53:09.140	0	0	0	0	0	2	0
sysxmitbody	87	S 	4	0	0	0	0	0	2019-09-13 17:53:09.150	0	0	0	S 	1	1	0	2019-09-13 17:53:09.150	0	0	0	0	0	2	0
