sysftstops,85,,4,0,S ,SYSTEM_TABLE,2019-09-13 17:53:09.087,2019-09-13 17:53:09.093,1,0,0
sysftproperties,86,,4,0,S ,SYSTEM_TABLE,2019-09-13 17:53:09.140,2019-09-13 17:53:09.153,1,0,0
sysxmitbody,87,,4,0,S ,SYSTEM_TABLE,2019-09-13 17:53:09.150,2019-09-13 17:53:09.157,1,0,0
sysfos,89,,4,0,S ,SYSTEM_TABLE,2019-09-13 17:53:09.297,2019-09-13 17:53:09.307,1,0,0
sysqnames,90,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:12.593,2009-04-13 12:59:12.607,1,0,0
sysxmlcomponent,91,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:12.593,2009-04-13 12:59:12.617,1,0,0
sysxmlfacet,92,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:12.610,2009-04-13 12:59:12.620,1,0,0
sysxmlplacement,93,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:12.610,2009-04-13 12:59:12.870,1,0,0
sysobjkeycrypts,94,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:13.013,2009-04-13 12:59:13.023,1,0,0
sysasymkeys,95,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:13.030,2019-09-13 17:53:09.637,1,0,0
syssqlguides,96,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:13.047,2019-09-13 17:53:09.043,1,0,0
sysbinsubobjs,97,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:12.483,2009-04-13 12:59:12.587,1,0,0
syssoftobjrefs,98,,4,0,S ,SYSTEM_TABLE,2019-09-13 17:53:09.007,2019-09-13 17:53:09.017,1,0,0
sqlagent_jobs,101575400,,4,0,IT,INTERNAL_TABLE,2019-09-13 17:53:09.413,2019-09-13 17:53:09.427,1,0,0
sqlagent_jobsteps,117575457,,4,0,IT,INTERNAL_TABLE,2019-09-13 17:53:09.420,2019-09-13 17:53:09.433,1,0,0
sqlagent_job_history,133575514,,4,0,IT,INTERNAL_TABLE,2019-09-13 17:53:09.427,2019-09-13 17:53:09.437,1,0,0
sqlagent_jobsteps_logs,149575571,,4,0,IT,INTERNAL_TABLE,2019-09-13 17:53:09.430,2019-09-13 17:53:09.443,1,0,0
plan_persist_query_text,165575628,,4,0,IT,INTERNAL_TABLE,2019-09-13 17:53:09.520,2019-09-13 17:53:09.680,1,0,0
plan_persist_query,181575685,,4,0,IT,INTERNAL_TABLE,2019-09-13 17:53:09.523,2019-11-09 14:37:25.127,1,0,0
plan_persist_plan,197575742,,4,0,IT,INTERNAL_TABLE,2019-09-13 17:53:09.530,2019-09-13 17:53:09.623,1,0,0
plan_persist_runtime_stats,213575799,,4,0,IT,INTERNAL_TABLE,2019-09-13 17:53:09.533,2019-09-13 17:53:09.690,1,0,0
plan_persist_runtime_stats_interval,229575856,,4,0,IT,INTERNAL_TABLE,2019-09-13 17:53:09.557,2019-09-13 17:53:09.557,1,0,0
plan_persist_context_settings,245575913,,4,0,IT,INTERNAL_TABLE,2019-09-13 17:53:09.560,2019-09-13 17:53:09.560,1,0,0
