fgguid,23,36,0,36,16,0,0,5,0,0,0,0,0,0,0,5,,0,0,0,8,37,0,,0,,0,0,1,,0x0000000000
lgfgid,23,56,0,56,4,10,0,6,0,0,0,0,0,0,0,6,,0,0,0,8,38,7,,10,0,0,0,1,,0x0000000000
status,23,56,1,56,4,10,0,7,0,0,0,0,0,0,0,7,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
name,23,231,3,256,256,0,0,8,0,0,0,0,0,0,0,8,,0,872468488,0,16,39,18,,128,,0,0,0,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
dbfragid,24,56,1,56,4,10,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
fileid,24,56,1,56,4,10,0,2,0,0,0,0,0,0,0,2,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
grpid,24,56,1,56,4,10,0,3,0,0,0,0,0,0,0,3,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
status,24,56,1,56,4,10,0,4,0,0,0,0,0,0,0,4,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
filetype,24,48,1,48,1,3,0,5,0,0,0,0,0,0,0,5,,0,0,0,0,48,5,,3,0,0,0,0,,0x0000000000
filestate,24,48,1,48,1,3,0,6,0,0,0,0,0,0,0,6,,0,0,0,0,48,5,,3,0,0,0,0,,0x0000000000
size,24,56,1,56,4,10,0,7,0,0,0,0,0,0,0,7,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
maxsize,24,56,1,56,4,10,0,8,0,0,0,0,0,0,0,8,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
growth,24,56,1,56,4,10,0,9,0,0,0,0,0,0,0,9,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
lname,24,231,3,256,256,0,0,10,0,0,0,0,0,0,0,10,,0,872468488,0,16,39,18,,128,,0,0,0,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
pname,24,231,3,231,520,0,0,11,0,0,0,0,0,0,0,11,,0,872468488,0,16,39,0,,260,,0,0,0,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
createlsn,24,173,2,173,10,0,0,12,0,0,0,0,0,0,0,12,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
droplsn,24,173,2,173,10,0,0,13,0,0,0,0,0,0,0,13,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
fileguid,24,36,0,36,16,0,0,14,0,0,0,0,0,0,0,14,,0,0,0,8,37,0,,0,,0,0,1,,0x0000000000
internalstatus,24,56,1,56,4,10,0,15,0,0,0,0,0,0,0,15,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
readonlylsn,24,173,2,173,10,0,0,16,0,0,0,0,0,0,0,16,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
